date,month,n,q5_on_bps,qqq_on_bps,tilt_bps,q5_on_masked,tilt_masked
20260821,2026-08,10,-158.6324014017211,-53.12400044396802,-105.50840095775308,-158.6324014017211,-105.50840095775308
20260824,2026-08,10,194.73863122332017,69.13361133809444,125.60501988522572,194.73863122332017,125.60501988522572
20260825,2026-08,10,-40.57738834735443,-32.55515266651742,-8.022235680837007,-40.57738834735443,-8.022235680837007
20260826,2026-08,10,152.40199662612093,77.85515214833403,74.5468444777869,152.40199662612093,74.5468444777869
20260827,2026-08,9,-74.22595225251906,-19.016491005405687,-55.20946124711338,-74.22595225251906,-55.20946124711338
20260828,2026-08,9,-24.345501344178828,-17.602823588540296,-6.742677755638532,-24.345501344178828,-6.742677755638532
20260831,2026-08,10,-157.20259221606685,-131.589090513854,-25.61350170221285,-157.20259221606685,-25.61350170221285
20260902,2026-09,11,-67.5998128462048,22.67442317172607,-90.27423601793086,-67.5998128462048,-90.27423601793086
20260903,2026-09,11,156.02069374646393,23.520779077135405,132.49991466932852,156.02069374646393,132.49991466932852
20260904,2026-09,11,296.1377804334079,27.91732995514928,268.2204504782586,296.1377804334079,268.2204504782586
20260908,2026-09,11,-66.99691841255077,-28.85733542744892,-38.13958298510185,-66.99691841255077,-38.13958298510185
20260909,2026-09,11,-304.8100422160886,-122.83529206368168,-181.97475015240693,-304.8100422160886,-181.97475015240693
20260910,2026-09,11,201.7435455835883,94.79542631646164,106.94811926712664,201.7435455835883,106.94811926712664
20260911,2026-09,11,-733.8092173459625,-163.4540998416851,-570.3551175042774,-733.8092173459625,-570.3551175042774
20260914,2026-09,11,109.72608642982772,-5.92384616718389,115.64993259701164,109.72608642982772,115.64993259701164
20260915,2026-09,11,238.1018829626421,49.83756021359274,188.2643227490493,238.1018829626421,188.2643227490493
20260916,2026-09,11,344.89793526579814,159.4946064779824,185.40332878781567,344.89793526579814,185.40332878781567
20260917,2026-09,11,65.68691364273234,26.74604497744043,38.9408686652919,65.68691364273234,38.9408686652919
20260918,2026-09,11,223.09190238105776,89.69288624987131,133.39901613118644,223.09190238105776,133.39901613118644
20260921,2026-09,11,-91.25141509181559,-6.2728321653474985,-84.97858292646809,-91.25141509181559,-84.97858292646809
